,cid
1677,40171606
1678,118792309
1679,1208170
1680,2823024
1681,83278564
1682,18526169
1683,53042599
1684,110263888
1685,708799
1686,121529534
1687,658217
1688,156609608
1689,24247828
1690,2769277
1691,50802979
1692,1928487
1693,740242
1694,1305492
1695,2957460
1696,27448833
1697,53566674
1698,2915158
1699,49673835
1700,46999815
1701,17567117
1702,20960023
1703,44821429
1704,2100018
1705,110099723
1706,41958
1707,84598973
1708,121138078
1709,22422032
1710,40143512
1711,2214939
1712,4917663
1713,24753719
1714,4672136
1715,45219412
1716,2806937
1717,33675
1718,42685986
1719,3600121
1720,45491460
1721,5307800
1722,110248698
1723,1320138
1724,35757263
1725,56725614
1726,667174
1727,2833798
1728,1042383
1729,68082
1730,4522264
1731,128474835
1732,9463908
1733,138108326
1734,53069417
1735,16667955
1736,110264739
1737,2947885
1738,91916899
1739,1003584
1740,3626084
1741,1371361
1742,3124403
1743,41846952
1744,16385972
1745,561287
1746,71975477
1747,44483339
1748,42960340
1749,45538878
1750,71448794
1751,16033619
1752,1046209
1753,132451089
1754,131702717
1755,17390633
1756,3358744
1757,306315
1758,42922473
1759,75472016
1760,75615623
1761,110259718
1762,45842246
1763,1917696
1764,45250853
1765,928397
1766,16188031
1767,46319857
1768,71686911
1769,6470467
1770,4919641
1771,4797706
1772,8832382
1773,1274432
1774,91889017
1775,87054773
1776,119064766
1777,53106773
1778,50795212
1779,2728645
1780,75381121
1781,305669
1782,16293565
1783,20873419
1784,655924
1785,52600921
1786,712747
1787,17536829
1788,122571483
1789,49836027
1790,774382
1791,20935651
1792,2744505
1793,135645634
1794,99635874
1795,132767219
1796,53148329
1797,8834025
1798,20899797
1799,4587581
1800,9338
1801,127245824
1802,4773170
1803,42934241
1804,718227
1805,1479695
1806,4241216
1807,103584
1808,121194070
1809,702892
1810,45909060
1811,1212202
1812,122244649
1813,53619987
1814,16024369
1815,17355
1816,56883292
1817,43074900
1818,20859537
1819,167762806
1820,71611939
1821,3585097
1822,3145540
1823,84586919
1824,1306676
1825,1409689
1826,121021069
1827,759231
1828,53173705
1829,71454279
1830,2819845
1831,1744
1832,38361962
1833,46263660
1834,4765880
1835,2872823
1836,25207689
1837,6469119
1838,709816
1839,110230490
1840,975563
1841,17471278
1842,91889110
1843,91908510
1844,84584364
1845,646145
1846,888490
1847,73440105
1848,4909357
1849,16766679
1850,119058524
1851,9462845
1852,6604926
1853,1522243
1854,15992302
1855,16767304
1856,666728
1857,20912482
1858,45921509
1859,3081484
1860,620154
1861,4544
1862,4633850
1863,35199237
1864,43233
1865,1035632
1866,25485657
1867,91813144
1868,42931150
1869,72841851
1870,4878733
1871,119104950
1872,1219578
1873,44781585
1874,75484073
1875,46985245
1876,30944351
1877,50959791
1878,91897297
1879,110117324
1880,878721
1881,56779017
1882,42665068
1883,975822
1884,74735617
1885,53072747
1886,39032546
1887,20908236
1888,6621558
1889,46820514
1890,1222863
1891,136881572
1892,17543151
1893,454716
1894,745479
1895,4278697
1896,84596487
1897,44139710
1898,648231
1899,17443358
1900,618098
1901,17199927
1902,18582269
1903,53597362
1904,46922912
1905,110260831
1906,20863623
1907,975119
1908,50826126
1909,752286
1910,9550545
1911,830655
1912,75164088
1913,110221588
1914,23603664
1915,4854992
1916,17610551
1917,16026192
1918,1469628
1919,3808072
1920,43042628
1921,121018837
1922,665910
1923,3268011
1924,10933679
1925,17543257
1926,2745230
1927,124941110
1928,1117870
1929,39041952
1930,1520897
1931,5310304
1932,2414840
1933,2992861
1934,1483598
1935,42919354
1936,91632715
1937,86781972
1938,3830679
1939,2135406
1940,2774558
1941,220136
1942,4765932
1943,156001798
1944,28022448
1945,836483
1946,9507932
1947,2157300
1948,69448
1949,4502333
1950,4886844
1951,122277943
1952,121926
1953,53023064
1954,74192
1955,80087
1956,110110585
1957,122263702
1958,4562252
1959,46361267
1960,3132053
1961,2845360
1962,16356872
1963,119102259
1964,46973150
1965,124216593
1966,1714698
1967,46977706
1968,129003024
1969,676286
1970,2362080
1971,34381902
1972,699344
1973,110090931
1974,16029903
1975,6619323
1976,16234962
1977,126851719
1978,690714
1979,86799663
1980,76400960
1981,3775860
1982,6469878
1983,45812653
1984,4400384
1985,889070
1986,7217792
1987,78105359
1988,3241329
1989,796307
1990,131892785
1991,2123970
1992,10947
1993,110132473
1994,678008
1995,3244136
1996,16804872
1997,22427427
1998,46342538
1999,3395
2000,22518185
2001,16878755
2002,3429861
2003,131955127
2004,59757974
2005,53070444
2006,110266221
2007,3171549
2008,16262729
2009,859858
2010,5197904
2011,84589056
2012,668372
2013,685322
2014,75418912
2015,44616046
2016,75470332
2017,5042
2018,22578605
2019,2054877
2020,9120358
2021,2829723
2022,27603277
2023,53157371
2024,6483726
2025,17415425
2026,1112701
2027,60753
2028,2231570
2029,53063882
2030,2126010
2031,17467339
2032,17413503
2033,42512906
2034,6620510
2035,43832886
2036,110199896
2037,110272277
2038,9236991
2039,6466352
2040,1307598
2041,27650327
2042,2773135
2043,20956967
2044,53000061
2045,3619181
2046,121152124
2047,2799547
2048,42920541
2049,4681327
2050,704443
2051,50955023
2052,53146900
2053,135414927
2054,16455445
2055,844005
2056,127246929
2057,22554601
2058,71995469
2059,665397
2060,50846805
2061,4209520
2062,4845837
2063,84586534
2064,1642215
2065,3674906
2066,110131606
2067,697771
2068,134161482
2069,9505876
2070,53179646
2071,2894113
2072,50808488
2073,53556695
2074,684683
2075,687253
2076,20905010
2077,2906436
2078,19579623
2079,4456
2080,53157350
2081,20936415
2082,73439220
2083,16273033
2084,53205124
2085,8010021
2086,44821946
2087,17570331
2088,1423300
2089,92431159
2090,72913438
2091,126814741
2092,6411222
2093,978
2094,700493
2095,5297037
2096,75396606
2097,485077
2098,274160
2099,1992
2100,3558779
2101,138911316
2102,4401291
2103,2915389
2104,605210
2105,3826471
2106,601562
2107,137701370
2108,67021931
2109,122245927
2110,4844583
2111,134161624
2112,749915
2113,3741
2114,7153895
2115,1257201
2116,4470179
2117,91629520
2118,75448131
2119,17311188
2120,91890518
2121,16812662
2122,46966815
2123,162798092
2124,17406941
2125,119068629
2126,47087417
2127,9870652
2128,50824384
2129,71219
2130,49661276
2131,121524541
2132,22661765
2133,4681808
2134,121504905
2135,16347072
2136,4205624
2137,90847143
2138,20950479
2139,3466044
2140,121193436
2141,2914925
2142,29105753
2143,73439270
2144,131951395
2145,46377283
2146,1297139
2147,53040382
2148,46325766
2149,27719354
2150,110268920
2151,17744097
2152,71968437
2153,168314577
2154,1795400
2155,1265007
2156,121019633
2157,75393960
2158,66509965
2159,1522575
2160,22512119
2161,4204315
2162,2259194
2163,42393953
2164,53202558
2165,1400877
2166,20643506
2167,121137991
2168,124075106
2169,53153827
2170,24685367
2171,654770
2172,4440
2173,673696
2174,122160748
2175,84590359
2176,42950120
2177,121137889
2178,4858253
2179,21947593
2180,72862956
2181,5299021
2182,743503
